DU00W350 airfoil at 
20M Reynolds number. 
 1       Number of airfoil tables in this file
 0.0     Table ID parameter
 10.00   Stall angle (deg)
 0.0 No longer used, enter zero
 0.0 No longer used, enter zero
 0.0 No longer used, enter zero
 -2.6648   Zero Cn angle of attack (deg)
 7.4597   Cn slope for zero lift (dimensionless)
 1.6489   Cn extrapolated to value at positive stall angle of attack
 -0.6678   Cn at stall value for negative angle of attack
 -3.00     Angle of attack for minimum CD (deg)
 0.0060   Minimum CD value
-180.0000	0.0000	0.0100	0.0000
-170.0000	0.6610	0.0100	0.4000
-160.0000	0.9310	0.1195	0.4824
-150.0000	0.7850	0.3115	0.3873
-140.0000	0.7050	0.5474	0.3743
-130.0000	0.6160	0.7994	0.3883
-120.0000	0.4980	1.0374	0.4101
-110.0000	0.3480	1.2336	0.4290
-100.0000	0.1770	1.3648	0.4375
-90.0000	0.0000	1.4160	0.4308
-80.0000	-0.1770	1.3648	0.4035
-70.0000	-0.3480	1.2336	0.3637
-60.0000	-0.4980	1.0374	0.3172
-50.0000	-0.6160	0.7994	0.2696
-40.0000	-0.7050	0.5474	0.2252
-35.0000	-0.7450	0.4295	0.2047
-30.0000	-0.7850	0.3115	0.1842
-25.0000	-0.8580	0.2155	0.1568
-23.0000	-0.8872	0.1771	0.1458
-21.0000	-0.9164	0.1387	0.1348
-20.0000	-0.9310	0.1195	0.1293
-19.0000	-0.9051	0.1110	0.1142
-18.0000	-0.8792	0.1025	0.0991
-17.0000	-0.8533	0.0940	0.0839
-16.0000	-0.8274	0.0855	0.0688
-15.0000	-0.8015	0.0770	0.0537
-14.0000	-0.7756	0.0684	0.0386
-13.0000	-0.7497	0.0599	0.0235
-12.0000	-0.7238	0.0514	0.0083
-11.0000	-0.6979	0.0429	-0.0068
-10.0000	-0.6720	0.0344	-0.0219
-9.0000	-0.6080	0.0301	-0.0277
-8.0000	-0.6020	0.0228	-0.0262
-7.0000	-0.5855	0.0151	-0.0312
-6.0000	-0.5690	0.0074	-0.0361
-5.0000	-0.3910	0.0064	-0.0532
-4.0000	-0.2300	0.0061	-0.0650
-3.0000	-0.0830	0.0060	-0.0729
-2.0000	0.0590	0.0060	-0.0796
-1.0000	0.2010	0.0061	-0.0864
0.0000	0.3400	0.0063	-0.0923
1.0000	0.4780	0.0064	-0.0980
2.0000	0.6150	0.0066	-0.1035
3.0000	0.7490	0.0069	-0.1084
4.0000	0.8820	0.0072	-0.1130
5.0000	1.0130	0.0076	-0.1172
6.0000	1.1390	0.0081	-0.1205
7.0000	1.2630	0.0086	-0.1235
8.0000	1.3780	0.0093	-0.1248
9.0000	1.4850	0.0100	-0.1245
10.0000	1.5550	0.0112	-0.1180
11.0000	1.6170	0.0133	-0.1120
12.0000	1.6600	0.0168	-0.1056
13.0000	1.7150	0.0249	-0.0981
14.0000	1.7450	0.0330	-0.0906
15.0000	1.7640	0.0458	-0.0855
16.0000	1.7770	0.0604	-0.0847
17.0000	1.7710	0.0752	-0.1012
18.0000	1.7520	0.0900	-0.1178
19.0000	1.7390	0.1047	-0.1343
20.0000	1.7270	0.1195	-0.1508
21.0000	1.7140	0.1387	-0.1579
22.0000	1.6950	0.1579	-0.1650
23.0000	1.6810	0.1771	-0.1721
24.0000	1.6630	0.1963	-0.1792
25.0000	1.6420	0.2155	-0.1863
27.0000	1.6120	0.2539	-0.2004
29.0000	1.5730	0.2923	-0.2146
31.0000	1.5410	0.3351	-0.2259
33.0000	1.5040	0.3823	-0.2343
35.0000	1.4820	0.4295	-0.2427
40.0000	1.4330	0.5474	-0.2637
45.0000	1.3980	0.6734	-0.2829
50.0000	1.3450	0.7994	-0.3020
55.0000	1.2270	0.9184	-0.3208
60.0000	1.0520	1.0374	-0.3395
65.0000	0.8870	1.1355	-0.3574
70.0000	0.6120	1.2336	-0.3752
75.0000	0.4040	1.2992	-0.3909
80.0000	0.2570	1.3648	-0.4066
85.0000	0.1265	1.3904	-0.4187
90.0000	0.0000	1.4160	-0.4308
95.0000	-0.0885	1.3904	-0.4342
100.0000 -0.1770	1.3648	-0.4375
105.0000 -0.2625	1.2992	-0.4333
110.0000 -0.3480	1.2336	-0.4290
115.0000 -0.4230	1.1355	-0.4196
120.0000 -0.4980	1.0374	-0.4101
125.0000 -0.5570	0.9184	-0.3992
130.0000 -0.6160	0.7994	-0.3883
135.0000 -0.6605	0.6734	-0.3813
140.0000 -0.7050	0.5474	-0.3743
145.0000 -0.7450	0.4295	-0.3808
150.0000 -0.7850	0.3115	-0.3873
155.0000 -0.8580	0.2155	-0.4349
160.0000 -0.9310	0.1195	-0.4824
165.0000 -0.7960	0.0648	-0.4912
170.0000 -0.6610	0.0100	-0.5000
175.0000 -0.3305	0.0100	-0.2500
180.0000 0.0000	0.0100	0.0000
